trial,optimizer,learning_rate,dropout_rate,unfreeze_layers,train_accuracy,train_f1_score,val_accuracy,val_f1_score,test_accuracy,test_f1_score
Trial_54_RMSPROP_LR_0.0001_DO_0.3_UF_10,rmsprop,0.0001,0.3,10,0.96096,0.9605145587154656,0.9406827084499161,0.9402987309294221,0.930648769574944,0.9302012752688521
Trial_50_RMSPROP_LR_0.0001_DO_0.2_UF_10,rmsprop,0.0001,0.2,10,0.96496,0.9643598365706978,0.9395635142697258,0.9387169608624906,0.9317673378076062,0.9304276623955127
Trial_9_ADAM_LR_0.001_DO_0.5_UF_0,adam,0.001,0.5,0,0.95696,0.9569872276857744,0.9384443200895355,0.9384913470971675,0.9440715883668904,0.9442469869087262
Trial_20_ADAM_LR_0.0001_DO_0.3_UF_40,adam,0.0001,0.3,40,0.97024,0.9692864946489933,0.9384443200895355,0.9371139488972571,0.9295302013422819,0.927543100558404
Trial_14_ADAM_LR_0.0001_DO_0.2_UF_10,adam,0.0001,0.2,10,0.95856,0.9579422227265805,0.9356463346390599,0.9349027523963606,0.9261744966442953,0.9248495865842501
Trial_51_RMSPROP_LR_0.0001_DO_0.2_UF_20,rmsprop,0.0001,0.2,20,0.96064,0.9589898787297618,0.9350867375489648,0.932924322736125,0.9328859060402684,0.9304860833073807
Trial_60_RMSPROP_LR_0.0001_DO_0.5_UF_40,rmsprop,0.0001,0.5,40,0.9592,0.9572814219208078,0.9317291550083939,0.9284747211919958,0.930648769574944,0.9269349524540512
Trial_52_RMSPROP_LR_0.0001_DO_0.2_UF_40,rmsprop,0.0001,0.2,40,0.9648,0.9632926071667532,0.9300503637381086,0.9277319684742563,0.9272930648769575,0.924530299035334
Trial_18_ADAM_LR_0.0001_DO_0.3_UF_10,adam,0.0001,0.3,10,0.95264,0.9516321202949017,0.9283715724678232,0.9270059468979225,0.9261744966442953,0.9245839841173626
Trial_8_ADAM_LR_0.001_DO_0.3_UF_40,adam,0.001,0.3,40,0.94496,0.9447973606875455,0.9238947957470621,0.9233583107351692,0.9284116331096197,0.9279731685273636
